model,error_type,dataset,relative_path,video_sha256,true_label,predicted_label,score_violence,confidence_predicted_class,theta,k,wrong_model_count,scene_type_observed,probable_failure_mechanism,taxonomy,inspection_frames_pct,inspection_sheet,interpretation_caveat
lstm_original_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0542.avi,841af337c6a77e274928e2177ce5ea6d13893864b4c0e0a780c968e6faf1a194,0,1,0.976186359,0.976186359,0.70,5,4,"CCTV interieur, personnes en circulation",proximite de plusieurs personnes et angle de surveillance; contexte potentiellement surinterprete,contexte_surveillance,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FP,RWF-2000,val/NonFight/rwf_val_nonfight_0034.avi,a56f02bd10fd94e20908aa986a5778884ea1ba4df8fa33199b7c9d06ee1115f6,0,1,0.978827739,0.978827739,0.70,5,4,"commerce, homme gesticulant devant comptoir",gestes amples et flou de mouvement ressemblant a une lutte,gestes_non_violents,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FN,RWF-2000,val/Fight/rwf_val_fight_0006.avi,021500d339b9625e2b458dcb6025c8449ac9eee5d00754f5ede84d4aebd2bd4d,1,0,0.656602561,0.343397439,0.70,5,4,commerce vu d'en haut derriere un comptoir,contact physique partiellement cache par le comptoir et angle distant,occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0057.avi,7c34270f8bcf64ecb444513cac792f261f6c0be1c06bc252bf6e579c2ea1047c,0,1,0.965295076,0.965295076,0.70,5,4,escalier filme par CCTV,deplacement rapide et silhouettes partiellement masquees par l'escalier,mouvement_et_occlusion,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FP,RLVS,NonViolence/NV_40.mp4,3b5f8f932def707656fca0eb6bbe2f768740904ad4621604347b5b40a5c7d69b,0,1,0.947364259,0.947364259,0.70,5,4,saut a la perche en stade,mouvement explosif et chute sportive assimiles a une violence,sport,10;50;90,inspection/error_inspection_1.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0444.avi,f59f705ebfbda5e02fc115209fdb780b13b7efbb389dc7a0fe5333a85d904134,1,0,0.297430527,0.702569473,0.70,5,4,"rue nocturne en noir et blanc, plusieurs personnes","plan large, protagonistes petits et faible contraste",plan_large_et_nuit,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FP,RWF-2000,train/NonFight/rwf_train_nonfight_0449.avi,ff194ca1f55ec739bb51cfa73e6fa9425bce500e5cf3f7b42a0b0a02753a02ab,0,1,0.934065414,0.934065414,0.70,5,4,rue nocturne filmee par CCTV,faible eclairage et silhouettes proches rendent l'interaction ambigue,faible_eclairage,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FP,RLVS,NonViolence/NV_14.mp4,6fecd99cf9e8028ced6c9ed42e85bb2f2f07f8ec2ebb2331c33b2115089e3fd6,0,1,0.981831896,0.981831896,0.70,5,4,tribune sportive et drapeaux,"foule agitee, bras leves et occlusions entre personnes",foule,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FN,RWF-2000,train/Fight/rwf_train_fight_0376.avi,eaacb8f424876a7d3a6de26699f301dbfe1a52f8f73f57ab34d415f6783ba8a9,1,0,0.394697624,0.605302376,0.70,5,4,"rue nocturne en noir et blanc, bandeau televise","protagonistes petits, contraste faible et bandeau graphique intrusif",nuit_et_bandeau,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
lstm_original_grouped,FN,RLVS,Violence/V_233.mp4,91ec49cd0c50ec5d227003096ee6839e35293904ce65532ad7207722fca2561f,1,0,0.555485296,0.444514704,0.70,5,1,altercation exterieure en video verticale,personnes petites dans l'image utile a cause des bandes noires et interaction breve,cadrage_vertical,10;50;90,inspection/error_inspection_2.jpg,"Hypothesis from three sampled frames, not a causal explanation or full video annotation"
