pair_id,cluster_id,review_id_a,review_id_b,split_a,split_b,relative_path_a,relative_path_b,original_label_a,original_label_b,reviewed_label_a,reviewed_label_b,corrected_review_ids,resolution,visual_verdict,min_phash_hamming,ordered_matches_h6,ordered_matches_h8
C001,cluster_0001,V005,V002,train,validation,train/NonFight/rwf_train_nonfight_0298.avi,train/Fight/rwf_train_fight_0273.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C002,cluster_0022,V053,V055,train,validation,train/Fight/rwf_train_fight_0543.avi,train/NonFight/rwf_train_nonfight_0590.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C003,cluster_0102,V113,V115,train,validation,val/Fight/rwf_val_fight_0042.avi,val/NonFight/rwf_val_nonfight_0041.avi,1,0,0,0,V113,resolved_by_label_correction,Les deux extraits montrent la meme classe apres correction visuelle de V113.,0,9,9
C004,cluster_0102,V113,V114,train,validation,val/Fight/rwf_val_fight_0042.avi,val/NonFight/rwf_val_nonfight_0040.avi,1,0,0,0,V113,resolved_by_label_correction,Les deux extraits montrent la meme classe apres correction visuelle de V113.,0,9,9
C005,cluster_0051,V085,V084,train,test,train/NonFight/rwf_train_nonfight_0378.avi,train/Fight/rwf_train_fight_0340.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C006,cluster_0023,V058,V059,train,validation,train/Fight/rwf_train_fight_0563.avi,train/NonFight/rwf_train_nonfight_0608.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C007,cluster_0012,V032,V029,train,validation,train/NonFight/rwf_train_nonfight_0721.avi,train/Fight/rwf_train_fight_0703.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,7,9
C008,cluster_0023,V056,V059,train,validation,train/Fight/rwf_train_fight_0561.avi,train/NonFight/rwf_train_nonfight_0608.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C009,cluster_0022,V054,V055,train,validation,train/Fight/rwf_train_fight_0544.avi,train/NonFight/rwf_train_nonfight_0590.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C010,cluster_0023,V057,V059,train,validation,train/Fight/rwf_train_fight_0562.avi,train/NonFight/rwf_train_nonfight_0608.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C011,cluster_0019,V042,V045,train,test,train/Fight/rwf_train_fight_0207.avi,train/NonFight/rwf_train_nonfight_0231.avi,1,0,1,0,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",0,9,9
C012,cluster_0001,V005,V004,train,validation,train/NonFight/rwf_train_nonfight_0298.avi,train/Fight/rwf_train_fight_0277.avi,0,1,0,1,,legitimate_temporal_transition,"Labels opposes confirmes: les extraits proviennent de la meme scene, mais couvrent une phase violente et une phase sans violence distinctes.",2,9,9
